ano,mes,orgao,ds_fonte_recurso,ds_cd_aplicacao_fixo,ds_alinea,ds_subalinea,vl_arrecadacao
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,07 - OPERAÇÕES DE CRÉDITO,100 - GERAL TOTAL,"21180100 - Operações de Crédito Internas - Específicas de Estados, DF, Municípios",21180141 - Operações de Crédito Internas para Programas de Meio Ambiente - Principal,"1.373.579,84"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16909900 - Outros Serviços,16909913 - Outros Serviços - Dívida Ativa,"777.839,64"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"13.296,97"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16100100 - Serviços Administrativos e Comerciais Gerais,16100111 - Serviços Administrativos e Comerciais Gerais - Principal,"19.675.834,90"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,24181000 - Transferência de Convênios da União e de suas Entidades,24181051 - Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal,"3.106.385,06"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19901200 - Encargos Legais pela Inscrição em Dívida Ativa e Receitas de Ônus de Sucumbência,19901221 - Ônus de Sucumbência - Principal,"41.431,16"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"14,37"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16100100 - Serviços Administrativos e Comerciais Gerais,16100111 - Serviços Administrativos e Comerciais Gerais - Principal,"-263.385,36"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,24289900 - Outras Transferências dos Estados,24289911 - Outras Transferências dos Estados - Principal,"401.647,15"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19909900 - Outras Receitas,19909911 - Outras Receitas - Primárias - Principal,"234.359,34"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"80,85"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16100100 - Serviços Administrativos e Comerciais Gerais,16100113 - Serviços Administrativos e Comerciais Gerais - Dívida Ativa,"5.065.991,98"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19909900 - Outras Receitas,19909912 - Outras Receitas - Primárias - Multas e Juros,"111.452,42"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"1.575,61"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16909900 - Outros Serviços,16909911 - Outros Serviços - Principal,"146.532,11"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,11280200 - Taxas pela Prestação de Serviços,11280291 - Taxas pela Prestação de Serviços - Outras - Principal,"12.485,62"
2020,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"301.953,37"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19909900 - Outras Receitas,19909911 - Outras Receitas - Primárias - Principal,"371.376,79"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"288.901,94"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16909900 - Outros Serviços,16909913 - Outros Serviços - Dívida Ativa,"636.784,89"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210000 - Juros e Correções Monetárias,13210011 - Remuneração de Depósitos Bancários - Principal,"21.396,82"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19909900 - Outras Receitas,19909912 - Outras Receitas - Primárias - Multas e Juros,"145.565,17"
2020,02,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16100100 - Serviços Administrativos e Comerciais Gerais,16100111 - Serviços Administrativos e Comerciais Gerais - Principal,"20.094.171,10"
