ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2020,1004,Sao Paulo,mensal,Janeiro,1,477357319.63,1140356664.44,3780927.95,1301371.59,1622796283.61,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Fevereiro,2,488276837.20,479898660.32,3122575.89,1579510.58,972877583.99,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Março,3,562811771.22,312601786.16,3386417.77,1701854.91,880501830.06,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Abril,4,380185077.15,50334228.02,3088640.13,1477511.81,435085457.11,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Maio,5,373711258.97,52660162.13,2589489.88,987745.06,429948656.04,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Junho,6,455933037.11,92059448.88,2704009.58,577761.95,551274257.52,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Julho,7,404166710.47,102339238.39,2967573.62,1043775.04,510517297.52,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Agosto,8,484643314.86,94308572.49,3219583.20,2149127.08,584320597.63,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Setembro,9,566339831.87,106588400.33,4340058.45,1485424.44,678753715.10,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Outubro,10,548196144.72,95369580.86,4777925.30,1707534.79,650051185.67,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Novembro,11,506291025.54,84168584.14,4626025.95,1015344.14,596100979.77,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,mensal,Dezembro,12,726553514.31,125448603.67,5829324.82,1238260.86,859069703.67,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
2020,1004,Sao Paulo,total_anual,Total,99,5974465843.06,2736133929.83,44432552.55,16265222.25,8771297547.68,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-12T03:04:46.262269+00:00
