ano,data_sessao,numero_sessao,tipo_sessao,numero_pl,tipo_pl,ementa,resultado_geral,vereador,partido,voto
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,JOSÉ SOARES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,LUCAS BARROS,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,MESSIAS BRITO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,SARGENTO CAMARGO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,JUNINHO LALUPE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,TIGUILA PAES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,ALEX EDUARDO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,ANDERSON HENRIQUE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,CARLOS KUKA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,NECO VIEIRA,PL,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,DOUGLAS GUARITA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,FABIO DA VAN,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,FABIO VALADÃO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,FLÁVIO XAVIER,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,HELDER PEREIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,GIBI PROFESSOR,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,JOSÉ SOARES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,LUCAS BARROS,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,MESSIAS BRITO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 212/2026,MOÇÃO,"“DE APLAUSOS E GONGRATULAÇÕES AO DIA DO ADVOGADO, CELEBRADO EM 11 DE AGOSTO.”",Aprovado,SARGENTO CAMARGO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,JUNINHO LALUPE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,TIGUILA PAES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,ALEX EDUARDO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,ANDERSON HENRIQUE,,A favor
